accession	parent_molregno	integrated_plasma_activity	predicted
P28223	2262	1.0	0
P28335	2262	1.0	0
P31645	2262	1.0	0
P33261	2262	0.0	0
P35367	2262	1.0	0
P35462	2262	1.0	0
P40225	2262	0.0	0
P41595	2262	1.0	0
P42345	2262	0.0	0
P42858	2262	0.0	0
P50406	2262	1.0	0
P51151	2262	0.0	0
Q01959	2262	0.0	0
Q16637	2262	0.0	0
Q6W5P4	2262	1.0	0
P00352	2327	0.0	0
P18507	2327	0.0	0
P28472	2327	0.0	0
P47869	2327	0.0	0
P47870	2327	0.0	0
P14867	2431	1.0	0
P18507	2431	1.0	0
P28472	2431	1.0	0
P34903	2431	1.0	0
P35367	2431	1.0	0
P47869	2431	1.0	0
P00374	2525	0.0	0
P16473	2525	1.0	0
Q16637	2525	0.0	0
Q9NUW8	2525	0.0	0
P00352	2580	0.0	0
P02545	2580	0.0	0
P04637	2580	0.0	0
P10636	2580	0.0	0
P16473	2580	0.0	0
P40225	2580	0.0	0
P42345	2580	1.0	0
P46063	2580	0.0	0
P51151	2580	0.0	0
P54132	2580	0.0	0
Q12809	2580	1.0	0
Q16637	2580	0.0	0
Q16665	2580	0.0	0
Q6W5P4	2580	0.0	0
Q99714	2580	0.0	0
P00352	2654	0.0	0
P02545	2654	0.0	0
P04637	2654	0.0	0
P10636	2654	0.0	0
P16473	2654	0.0	0
P42858	2654	0.0	0
P46063	2654	0.0	0
Q16665	2654	0.0	0
Q6W5P4	2654	0.0	0
P16473	2994	0.0	0
Q16637	2994	0.0	0
Q9NUW8	2994	0.0	0
P00352	3012	0.0	0
P48039	3012	1.0	0
P51151	3012	0.0	0
P54132	3012	1.0	0
Q99714	3012	0.0	0
Q9NUW8	3012	0.0	0
P17787	3183	0.0	0
P32297	3183	0.0	0
P41595	3183	1.0	0
P43681	3183	0.0	0
P46098	3183	1.0	0
Q12809	3183	1.0	0
Q96FL8	3183	1.0	0
P02545	3345	1.0	0
P10636	3345	0.0	0
P00352	3599	0.0	0
P08908	3599	1.0	0
P14416	3599	1.0	0
P25100	3599	1.0	0
P28223	3599	0.0	0
P35462	3599	1.0	0
P41595	3599	1.0	0
Q12809	3599	0.0	0
Q16665	3599	0.0	0
Q96FL8	3599	0.0	0
Q99720	3599	1.0	0
P00352	3730	0.0	0
P00533	3730	0.0	0
P02545	3730	0.0	0
P06241	3730	0.0	0
P10636	3730	0.0	0
P16050	3730	0.0	0
P42345	3730	0.0	0
P46063	3730	0.0	0
P54132	3730	0.0	0
Q99714	3730	1.0	0
Q9NUW8	3730	1.0	0
P02545	3799	0.0	0
P34969	3799	1.0	0
P54132	3799	0.0	0
P00352	3854	0.0	0
P02545	3854	0.0	0
P04637	3854	0.0	0
P08908	3854	1.0	0
P10636	3854	0.0	0
P14416	3854	1.0	0
P14618	3854	1.0	0
P21728	3854	1.0	0
P21917	3854	1.0	0
P28482	3854	0.0	0
P35462	3854	1.0	0
P42858	3854	0.0	0
P46063	3854	0.0	0
Q16637	3854	0.0	0
Q99714	3854	1.0	0
Q9NUW8	3854	1.0	0
P07305	3859	1.0	0
P08908	3859	0.0	0
P08912	3859	0.0	0
P08913	3859	0.0	0
P11229	3859	0.0	0
P14416	3859	1.0	0
P16050	3859	0.0	0
P16473	3859	0.0	0
P18089	3859	1.0	0
P18825	3859	1.0	0
P19838	3859	1.0	0
P21728	3859	1.0	0
P21917	3859	1.0	0
P21918	3859	1.0	0
P23975	3859	0.0	0
P25021	3859	0.0	0
P25100	3859	1.0	0
P28223	3859	1.0	0
P28335	3859	0.0	0
P31645	3859	0.0	0
P34969	3859	0.0	0
P35348	3859	1.0	0
P35367	3859	1.0	0
P35372	3859	0.0	0
P35462	3859	1.0	0
P40225	3859	0.0	0
P41595	3859	0.0	0
P42345	3859	0.0	0
P50406	3859	0.0	0
Q12809	3859	1.0	0
Q15125	3859	1.0	0
Q99720	3859	1.0	0
O15118	3965	0.0	0
P00352	3965	0.0	0
P02545	3965	0.0	0
P08172	3965	1.0	0
P08173	3965	1.0	0
P08912	3965	0.0	0
P08913	3965	1.0	0
P10636	3965	0.0	0
P14618	3965	1.0	0
P16050	3965	0.0	0
P21397	3965	1.0	0
P23975	3965	0.0	0
P28223	3965	1.0	0
P28335	3965	0.0	0
P35462	3965	0.0	0
P40225	3965	0.0	0
P42345	3965	0.0	0
P42858	3965	0.0	0
P46063	3965	0.0	0
P51151	3965	0.0	0
P54132	3965	0.0	0
Q01959	3965	0.0	0
Q12809	3965	0.0	0
Q16637	3965	0.0	0
Q16665	3965	0.0	0
Q96FL8	3965	0.0	0
P10636	4011	0.0	0
Q16665	4011	0.0	0
P00352	4345	0.0	0
P02545	4345	1.0	0
P28482	4345	0.0	0
P21554	4496	1.0	0
P23415	4496	0.0	0
P35462	4496	1.0	0
O15118	4504	0.0	0
P00352	4504	0.0	0
P00533	4504	0.0	0
P02545	4504	0.0	0
P04626	4504	0.0	0
P04637	4504	0.0	0
P06241	4504	0.0	0
P08172	4504	1.0	0
P08173	4504	1.0	0
P10636	4504	0.0	0
P11229	4504	1.0	0
P14618	4504	0.0	0
P16050	4504	0.0	0
P19838	4504	0.0	0
P23975	4504	0.0	0
P28335	4504	0.0	0
P28482	4504	0.0	0
P40225	4504	1.0	0
P42345	4504	1.0	0
P42858	4504	0.0	0
P46063	4504	0.0	0
P51151	4504	0.0	0
P54132	4504	0.0	0
Q12809	4504	0.0	0
Q16637	4504	1.0	0
Q16665	4504	0.0	0
Q6W5P4	4504	0.0	0
Q96FL8	4504	1.0	0
Q9NUW8	4504	0.0	0
P00352	4584	0.0	0
P02545	4584	0.0	0
P04637	4584	0.0	0
P07550	4584	0.0	0
P10636	4584	0.0	0
P14416	4584	1.0	0
P16050	4584	0.0	0
P21728	4584	1.0	0
P21917	4584	1.0	0
P21918	4584	0.0	0
P23975	4584	1.0	0
P28482	4584	0.0	0
P35462	4584	1.0	0
P40225	4584	0.0	0
P42345	4584	0.0	0
P46063	4584	0.0	0
P48039	4584	0.0	0
P54132	4584	1.0	0
Q01959	4584	0.0	0
Q16665	4584	0.0	0
Q99714	4584	0.0	0
Q9NUW8	4584	1.0	0
P00918	4730	0.0	0
P02545	4730	0.0	0
P16473	4730	0.0	0
P19838	4730	0.0	0
P35218	4730	0.0	0
P54132	4730	0.0	0
Q16790	4730	0.0	0
P05164	4941	0.0	0
P00352	5028	0.0	0
O15118	5080	0.0	0
P23219	5080	1.0	0
P35354	5080	1.0	0
P42858	5080	0.0	0
P51151	5080	0.0	0
P54132	5080	1.0	0
P02545	5528	0.0	0
P07550	5528	1.0	0
P08588	5528	0.0	0
P54132	5528	1.0	0
P00352	5582	0.0	0
P02545	5582	0.0	0
P10636	5582	0.0	0
P11712	5582	0.0	0
P16473	5582	1.0	0
P54132	5582	0.0	0
Q12809	5582	0.0	0
Q16665	5582	0.0	0
Q12809	5638	1.0	0
P35372	5666	0.0	0
P41143	5666	0.0	0
P00352	5772	0.0	0
P02545	5772	0.0	0
P16473	5772	0.0	0
Q16637	5772	0.0	0
P0DMS8	5797	1.0	0
P28482	5797	0.0	0
P29274	5797	1.0	0
P30542	5797	1.0	0
Q16637	5797	0.0	0
Q8TEK3	5797	0.0	0
O15118	5970	0.0	0
P00352	5970	1.0	0
P00533	5970	0.0	0
P02545	5970	0.0	0
P04637	5970	0.0	0
P05177	5970	0.0	0
P06241	5970	0.0	0
P08172	5970	1.0	0
P08173	5970	1.0	0
P08912	5970	1.0	0
P08913	5970	1.0	0
P10635	5970	0.0	0
P10636	5970	0.0	0
P11229	5970	1.0	0
P14416	5970	1.0	0
P18089	5970	1.0	0
P18825	5970	1.0	0
P20309	5970	1.0	0
P21728	5970	1.0	0
P21917	5970	1.0	0
P23975	5970	0.0	0
P25021	5970	1.0	0
P25100	5970	1.0	0
P28223	5970	1.0	0
P28335	5970	1.0	0
P28482	5970	0.0	0
P31645	5970	1.0	0
P33261	5970	0.0	0
P34969	5970	1.0	0
P35367	5970	1.0	0
P35462	5970	1.0	0
P41145	5970	0.0	0
P41595	5970	1.0	0
P42345	5970	0.0	0
P42858	5970	0.0	0
P50406	5970	1.0	0
P51151	5970	0.0	0
Q01959	5970	0.0	0
Q12809	5970	1.0	0
Q13936	5970	0.0	0
Q16637	5970	0.0	0
Q6W5P4	5970	0.0	0
Q99720	5970	1.0	0
Q9NUW8	5970	0.0	0
O15118	5975	0.0	0
P00352	5975	0.0	0
P02545	5975	0.0	0
P08183	5975	0.0	0
P10635	5975	0.0	0
P10636	5975	0.0	0
P16050	5975	0.0	0
P16473	5975	1.0	0
P33261	5975	1.0	0
P51151	5975	0.0	0
Q16665	5975	0.0	0
Q99714	5975	0.0	0
Q9NUW8	5975	0.0	0
P00352	5985	0.0	0
P02545	5985	0.0	0
P08173	5985	1.0	0
P18825	5985	0.0	0
P22303	5985	1.0	0
Q16637	5985	0.0	0
Q96FL8	5985	0.0	0
Q99714	5985	0.0	0
P35372	6005	1.0	0
P41143	6005	1.0	0
P41145	6005	1.0	0
P35372	6167	0.0	0
P00533	6216	0.0	0
P02545	6216	0.0	0
P04626	6216	0.0	0
P04637	6216	0.0	0
P06241	6216	0.0	0
P08172	6216	1.0	0
P08173	6216	1.0	0
P08912	6216	1.0	0
P08913	6216	1.0	0
P10636	6216	0.0	0
P11229	6216	1.0	0
P14416	6216	1.0	0
P18089	6216	1.0	0
P18825	6216	1.0	0
P19838	6216	0.0	0
P20309	6216	1.0	0
P21728	6216	1.0	0
P21917	6216	1.0	0
P21918	6216	1.0	0
P23975	6216	1.0	0
P25021	6216	0.0	0
P25100	6216	1.0	0
P28223	6216	1.0	0
P28335	6216	1.0	0
P28482	6216	0.0	0
P31645	6216	1.0	0
P34969	6216	1.0	0
P35367	6216	1.0	0
P35372	6216	0.0	0
P35462	6216	1.0	0
P40225	6216	0.0	0
P41143	6216	0.0	0
P41145	6216	0.0	0
P41595	6216	1.0	0
P41968	6216	0.0	0
P42345	6216	0.0	0
P50406	6216	1.0	0
P51151	6216	0.0	0
Q01959	6216	0.0	0
Q12809	6216	0.0	0
Q16637	6216	0.0	0
Q6W5P4	6216	0.0	0
Q99720	6216	1.0	0
Q9NUW8	6216	0.0	0
P19838	6243	0.0	0
P23975	6243	1.0	0
P28482	6243	1.0	0
P31645	6243	1.0	0
P40225	6243	0.0	0
P42345	6243	0.0	0
P42858	6243	0.0	0
Q01959	6243	0.0	0
Q12809	6243	0.0	0
Q16637	6243	0.0	0
Q6W5P4	6243	0.0	0
P11511	6317	0.0	0
P02545	6343	0.0	0
P10636	6343	0.0	0
P42345	6343	0.0	0
P54132	6343	0.0	0
Q16637	6343	0.0	0
Q6W5P4	6343	1.0	0
P10636	6579	0.0	0
Q12809	6579	0.0	0
Q99714	6579	0.0	0
O15118	6643	0.0	0
P02545	6643	0.0	0
P04637	6643	0.0	0
P05164	6643	1.0	0
P08172	6643	1.0	0
P08173	6643	1.0	0
P08183	6643	0.0	0
P08912	6643	1.0	0
P10635	6643	1.0	0
P11229	6643	1.0	0
P19838	6643	0.0	0
P20309	6643	1.0	0
P23975	6643	1.0	0
P25103	6643	1.0	0
P28482	6643	0.0	0
P31645	6643	1.0	0
P40225	6643	0.0	0
P42345	6643	0.0	0
P51151	6643	0.0	0
Q01959	6643	1.0	0
Q12809	6643	0.0	0
Q16637	6643	0.0	0
