tid	pref_name	target_type	accession	accession_organism	target_organism
206	Interleukin 11 receptor alpha	SINGLE PROTEIN	Q14626	Homo sapiens	Homo sapiens
57	Retinoic acid receptor alpha	SINGLE PROTEIN	P10276	Homo sapiens	Homo sapiens
6	Dihydrofolate reductase	SINGLE PROTEIN	P00374	Homo sapiens	Homo sapiens
88	Dopamine D1 receptor	SINGLE PROTEIN	P21728	Homo sapiens	Homo sapiens
181	B-lymphocyte antigen CD20	SINGLE PROTEIN	P11836	Homo sapiens	Homo sapiens
195	TNF-beta	SINGLE PROTEIN	P01374	Homo sapiens	Homo sapiens
232	Lipoprotein lipase	SINGLE PROTEIN	P06858	Homo sapiens	Homo sapiens
275	Retinoid X receptor alpha	SINGLE PROTEIN	P19793	Homo sapiens	Homo sapiens
286	Ceramide glucosyltransferase	SINGLE PROTEIN	Q16739	Homo sapiens	Homo sapiens
10227	GABA-B receptor 1	SINGLE PROTEIN	Q9UBS5	Homo sapiens	Homo sapiens
30008	Ephrin type-A receptor 2	SINGLE PROTEIN	P29317	Homo sapiens	Homo sapiens
246	Thromboxane A2 receptor	SINGLE PROTEIN	P21731	Homo sapiens	Homo sapiens
19	Estrogen receptor alpha	SINGLE PROTEIN	P03372	Homo sapiens	Homo sapiens
164	Sulfonylurea receptor 1	SINGLE PROTEIN	Q09428	Homo sapiens	Homo sapiens
10124	Alcohol sulfotransferase	SINGLE PROTEIN	Q06520	Homo sapiens	Homo sapiens
10132	Cellular retinoic acid-binding protein I	SINGLE PROTEIN	P29762	Homo sapiens	Homo sapiens
10158	Glutathione S-transferase Mu 1	SINGLE PROTEIN	P09488	Homo sapiens	Homo sapiens
10189	Fatty acid binding protein adipocyte	SINGLE PROTEIN	P15090	Homo sapiens	Homo sapiens
10192	Asialoglycoprotein receptor 1	SINGLE PROTEIN	P07306	Homo sapiens	Homo sapiens
