tid	pref_name	target_type	accession	accession_organism	target_organism
104588	Actin, cytoplasmic 1	SINGLE PROTEIN	P60709	Homo sapiens	Homo sapiens
104589	Biotin--protein ligase	SINGLE PROTEIN	P50747	Homo sapiens	Homo sapiens
104591	ADM	SINGLE PROTEIN	P35318	Homo sapiens	Homo sapiens
104592	Max-like protein X	SINGLE PROTEIN	Q9UH92	Homo sapiens	Homo sapiens
104593	Kelch-like ECH-associated protein 1	SINGLE PROTEIN	Q14145	Homo sapiens	Homo sapiens
104515	von Willebrand factor	SINGLE PROTEIN	P04275	Homo sapiens	Homo sapiens
104554	Lupus La protein	SINGLE PROTEIN	P05455	Homo sapiens	Homo sapiens
104557	Probable ATP-dependent RNA helicase DHX36	SINGLE PROTEIN	Q9H2U1	Homo sapiens	Homo sapiens
104558	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	SINGLE PROTEIN	Q8TDX6	Homo sapiens	Homo sapiens
104559	Multidrug resistance-associated protein 5	SINGLE PROTEIN	O15440	Homo sapiens	Homo sapiens
104560	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	SINGLE PROTEIN	Q8N5Z0	Homo sapiens	Homo sapiens
104561	Kynurenine--oxoglutarate transaminase 3	SINGLE PROTEIN	Q6YP21	Homo sapiens	Homo sapiens
104596	Extracellular superoxide dismutase [Cu-Zn]	SINGLE PROTEIN	P08294	Homo sapiens	Homo sapiens
105124	Small ubiquitin-related modifier 1	SINGLE PROTEIN	P63165	Homo sapiens	Homo sapiens
105125	DNA repair and recombination protein RAD54-like	SINGLE PROTEIN	Q92698	Homo sapiens	Homo sapiens
105128	Glycosyltransferase-like protein LARGE1	SINGLE PROTEIN	O95461	Homo sapiens	Homo sapiens
105129	Small ubiquitin-related modifier 2	SINGLE PROTEIN	P61956	Homo sapiens	Homo sapiens
105130	Glutaminase kidney isoform, mitochondrial	SINGLE PROTEIN	O94925	Homo sapiens	Homo sapiens
105133	Glycoprotein hormones alpha chain	SINGLE PROTEIN	P01215	Homo sapiens	Homo sapiens
105134	Rac GTPase-activating protein 1	SINGLE PROTEIN	Q9H0H5	Homo sapiens	Homo sapiens
105136	Protein disulfide-isomerase A6	SINGLE PROTEIN	Q15084	Homo sapiens	Homo sapiens
105139	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	SINGLE PROTEIN	Q9ULH1	Homo sapiens	Homo sapiens
105140	Werner syndrome ATP-dependent helicase	SINGLE PROTEIN	Q14191	Homo sapiens	Homo sapiens
105169	PTPsigma-(Brain)	SINGLE PROTEIN	Q9UM81	Homo sapiens	Homo sapiens
105170	Dual specificity protein phosphatase 4	SINGLE PROTEIN	Q13115	Homo sapiens	Homo sapiens
105173	Neurogenic locus notch homolog protein 1	SINGLE PROTEIN	P46531	Homo sapiens	Homo sapiens
105174	Inward rectifier potassium channel 4	SINGLE PROTEIN	P48050	Homo sapiens	Homo sapiens
105175	ATP-sensitive inward rectifier potassium channel 10	SINGLE PROTEIN	P78508	Homo sapiens	Homo sapiens
105176	Inward rectifier potassium channel 13	SINGLE PROTEIN	O60928	Homo sapiens	Homo sapiens
105182	Protein CIP2A	SINGLE PROTEIN	Q8TCG1	Homo sapiens	Homo sapiens
105187	SRC kinase signaling inhibitor 1	SINGLE PROTEIN	Q9C0H9	Homo sapiens	Homo sapiens
105188	ATPase family AAA domain-containing protein 2	SINGLE PROTEIN	Q6PL18	Homo sapiens	Homo sapiens
105189	Succinate receptor 1	SINGLE PROTEIN	Q9BXA5	Homo sapiens	Homo sapiens
105191	2-oxoglutarate receptor 1	SINGLE PROTEIN	Q96P68	Homo sapiens	Homo sapiens
105195	Methionine synthase	SINGLE PROTEIN	Q99707	Homo sapiens	Homo sapiens
105196	Ubiquitin carboxyl-terminal hydrolase 7	SINGLE PROTEIN	Q93009	Homo sapiens	Homo sapiens
105197	Ubiquitin carboxyl-terminal hydrolase 47	SINGLE PROTEIN	Q96K76	Homo sapiens	Homo sapiens
105198	Ubiquitin carboxyl-terminal hydrolase 21	SINGLE PROTEIN	Q9UK80	Homo sapiens	Homo sapiens
105199	Ubiquitin carboxyl-terminal hydrolase 28	SINGLE PROTEIN	Q96RU2	Homo sapiens	Homo sapiens
105200	Ubiquitin carboxyl-terminal hydrolase 8	SINGLE PROTEIN	P40818	Homo sapiens	Homo sapiens
105202	Fanconi anemia group F protein	SINGLE PROTEIN	Q9NPI8	Homo sapiens	Homo sapiens
105203	Fanconi anemia group D2 protein	SINGLE PROTEIN	Q9BXW9	Homo sapiens	Homo sapiens
105204	Dual specificity protein phosphatase 2	SINGLE PROTEIN	Q05923	Homo sapiens	Homo sapiens
105206	43 kDa receptor-associated protein of the synapse	SINGLE PROTEIN	Q13702	Homo sapiens	Homo sapiens
105207	S-methylmethionine--homocysteine S-methyltransferase BHMT2	SINGLE PROTEIN	Q9H2M3	Homo sapiens	Homo sapiens
105215	Gamma-butyrobetaine dioxygenase	SINGLE PROTEIN	O75936	Homo sapiens	Homo sapiens
105216	Lysine-specific demethylase 5C	SINGLE PROTEIN	P41229	Homo sapiens	Homo sapiens
105217	Lysine-specific demethylase 7	SINGLE PROTEIN	Q6ZMT4	Homo sapiens	Homo sapiens
105220	Antithrombin	SINGLE PROTEIN	Q15950	Homo sapiens	Homo sapiens
105222	NAD-dependent protein deacetylase sirtuin-6	SINGLE PROTEIN	Q8N6T7	Homo sapiens	Homo sapiens
105223	NAD-dependent protein deacylase sirtuin-5, mitochondrial	SINGLE PROTEIN	Q9NXA8	Homo sapiens	Homo sapiens
105224	NAD-dependent protein deacetylase sirtuin-7	SINGLE PROTEIN	Q9NRC8	Homo sapiens	Homo sapiens
105225	NAD-dependent protein deacetylase sirtuin-4	SINGLE PROTEIN	Q9Y6E7	Homo sapiens	Homo sapiens
105226	Glutathione peroxidase 1	SINGLE PROTEIN	P07203	Homo sapiens	Homo sapiens
105227	N-lysine methyltransferase SMYD2	SINGLE PROTEIN	Q9NRG4	Homo sapiens	Homo sapiens
105239	Pancreatic lipase-related protein 2	SINGLE PROTEIN	P54317	Homo sapiens	Homo sapiens
105241	NQO1 protein	SINGLE PROTEIN	Q3B792	Homo sapiens	Homo sapiens
105242	NADPH--cytochrome P450 reductase	SINGLE PROTEIN	P16435	Homo sapiens	Homo sapiens
105243	Hydroxyacid oxidase 2	SINGLE PROTEIN	Q9NYQ3	Homo sapiens	Homo sapiens
105246	7-dehydrocholesterol reductase	SINGLE PROTEIN	Q9UBM7	Homo sapiens	Homo sapiens
105247	Tyrosyl-DNA phosphodiesterase 2	SINGLE PROTEIN	O95551	Homo sapiens	Homo sapiens
105344	Spermine oxidase	SINGLE PROTEIN	Q9NWM0	Homo sapiens	Homo sapiens
105346	Complement factor D	SINGLE PROTEIN	P00746	Homo sapiens	Homo sapiens
105347	E3 ubiquitin-protein ligase TRIM33	SINGLE PROTEIN	Q9UPN9	Homo sapiens	Homo sapiens
105348	PH-interacting protein	SINGLE PROTEIN	Q8WWQ0	Homo sapiens	Homo sapiens
105349	Bromodomain-containing protein 1	SINGLE PROTEIN	O95696	Homo sapiens	Homo sapiens
105350	ATPase family AAA domain-containing protein 2B	SINGLE PROTEIN	Q9ULI0	Homo sapiens	Homo sapiens
105351	Sentrin-specific protease 2	SINGLE PROTEIN	Q9HC62	Homo sapiens	Homo sapiens
105352	Poly [ADP-ribose] polymerase 14	SINGLE PROTEIN	Q460N5	Homo sapiens	Homo sapiens
105353	Poly [ADP-ribose] polymerase 15	SINGLE PROTEIN	Q460N3	Homo sapiens	Homo sapiens
105414	Toll-like receptor 5	SINGLE PROTEIN	O60602	Homo sapiens	Homo sapiens
105421	Advanced glycosylation end product-specific receptor	SINGLE PROTEIN	Q15109	Homo sapiens	Homo sapiens
105428	C-type lectin domain family 4 member K	SINGLE PROTEIN	Q9UJ71	Homo sapiens	Homo sapiens
105429	Macrophage mannose receptor 1	SINGLE PROTEIN	P22897	Homo sapiens	Homo sapiens
105430	C-type lectin domain family 4 member C	SINGLE PROTEIN	Q8WTT0	Homo sapiens	Homo sapiens
105431	C-type lectin domain family 6 member A	SINGLE PROTEIN	Q6EIG7	Homo sapiens	Homo sapiens
105432	Pulmonary surfactant-associated protein D	SINGLE PROTEIN	P35247	Homo sapiens	Homo sapiens
105433	C-type lectin domain family 4 member M	SINGLE PROTEIN	Q9H2X3	Homo sapiens	Homo sapiens
105440	Histone-lysine N-methyltransferase EZH2	SINGLE PROTEIN	Q15910	Homo sapiens	Homo sapiens
105441	Histone-lysine N-methyltransferase SETMAR	SINGLE PROTEIN	Q53H47	Homo sapiens	Homo sapiens
105442	Histone-lysine N-methyltransferase MLL4	SINGLE PROTEIN	Q9UMN6	Homo sapiens	Homo sapiens
105443	Histone-lysine N-methyltransferase MLL3	SINGLE PROTEIN	Q8NEZ4	Homo sapiens	Homo sapiens
105444	Histone-lysine N-methyltransferase MLL2	SINGLE PROTEIN	O14686	Homo sapiens	Homo sapiens
105446	Histone-lysine N-methyltransferase EZH1	SINGLE PROTEIN	Q92800	Homo sapiens	Homo sapiens
105447	Polycomb protein EED	SINGLE PROTEIN	O75530	Homo sapiens	Homo sapiens
105451	GTPase KRas	SINGLE PROTEIN	P01116	Homo sapiens	Homo sapiens
105452	DnaJ homolog subfamily A member 1	SINGLE PROTEIN	P31689	Homo sapiens	Homo sapiens
105454	Arylsulfatase G	SINGLE PROTEIN	Q96EG1	Homo sapiens	Homo sapiens
105455	Testis-expressed sequence 30 protein	SINGLE PROTEIN	Q5JUR7	Homo sapiens	Homo sapiens
105456	Calcium-independent phospholipase A2-gamma	SINGLE PROTEIN	Q9NP80	Homo sapiens	Homo sapiens
105457	Monoacylglycerol lipase ABHD6	SINGLE PROTEIN	Q9BV23	Homo sapiens	Homo sapiens
105458	Prolyl endopeptidase-like	SINGLE PROTEIN	Q4J6C6	Homo sapiens	Homo sapiens
105459	Neuropathy target esterase	SINGLE PROTEIN	Q8IY17	Homo sapiens	Homo sapiens
105460	S-formylglutathione hydrolase	SINGLE PROTEIN	P10768	Homo sapiens	Homo sapiens
105461	Retinoid-inducible serine carboxypeptidase	SINGLE PROTEIN	Q9HB40	Homo sapiens	Homo sapiens
105462	Abhydrolase domain-containing protein FAM108B1	SINGLE PROTEIN	Q5VST6	Homo sapiens	Homo sapiens
105463	Lysophospholipase-like protein 1	SINGLE PROTEIN	Q5VWZ2	Homo sapiens	Homo sapiens
105464	Alpha/beta hydrolase domain-containing protein 11	SINGLE PROTEIN	Q8NFV4	Homo sapiens	Homo sapiens
105465	Acyl-coenzyme A thioesterase 2, mitochondrial	SINGLE PROTEIN	P49753	Homo sapiens	Homo sapiens
105466	Acyl-coenzyme A thioesterase 1	SINGLE PROTEIN	Q86TX2	Homo sapiens	Homo sapiens
105467	Lysosomal thioesterase PPT2	SINGLE PROTEIN	Q9UMR5	Homo sapiens	Homo sapiens
105469	Aspartate aminotransferase, cytoplasmic	SINGLE PROTEIN	P17174	Homo sapiens	Homo sapiens
105474	Phosphoinositide 3-kinase regulatory subunit 4	SINGLE PROTEIN	Q99570	Homo sapiens	Homo sapiens
105481	Myosin-9	SINGLE PROTEIN	P35579	Homo sapiens	Homo sapiens
105483	Thioredoxin, mitochondrial	SINGLE PROTEIN	Q99757	Homo sapiens	Homo sapiens
105493	Cytochrome c	SINGLE PROTEIN	P99999	Homo sapiens	Homo sapiens
105495	Carnitine O-palmitoyltransferase 1, muscle isoform	SINGLE PROTEIN	Q92523	Homo sapiens	Homo sapiens
105496	Mitochondrial carnitine/acylcarnitine carrier protein	SINGLE PROTEIN	O43772	Homo sapiens	Homo sapiens
105497	Hypoxia up-regulated protein 1	SINGLE PROTEIN	Q9Y4L1	Homo sapiens	Homo sapiens
105498	Heterogeneous nuclear ribonucleoproteins C1/C2	SINGLE PROTEIN	P07910	Homo sapiens	Homo sapiens
105499	Leucine-rich repeat-containing protein 59	SINGLE PROTEIN	Q96AG4	Homo sapiens	Homo sapiens
105500	Vacuolar protein sorting-associated protein 35	SINGLE PROTEIN	Q96QK1	Homo sapiens	Homo sapiens
105561	Dual specificity protein phosphatase 26	SINGLE PROTEIN	Q9BV47	Homo sapiens	Homo sapiens
105581	Cell division control protein 6 homolog	SINGLE PROTEIN	Q99741	Homo sapiens	Homo sapiens
105582	Vacuolar protein sorting-associated protein 4B	SINGLE PROTEIN	O75351	Homo sapiens	Homo sapiens
105583	Spermatogenesis-associated protein 5	SINGLE PROTEIN	Q8NB90	Homo sapiens	Homo sapiens
105584	Vesicle-fusing ATPase	SINGLE PROTEIN	P46459	Homo sapiens	Homo sapiens
105585	Endoribonuclease Dicer	SINGLE PROTEIN	Q9UPY3	Homo sapiens	Homo sapiens
105589	High mobility group protein B1	SINGLE PROTEIN	P09429	Homo sapiens	Homo sapiens
105591	Emopamil-binding protein-like	SINGLE PROTEIN	Q9BY08	Homo sapiens	Homo sapiens
105595	Laforin	SINGLE PROTEIN	O95278	Homo sapiens	Homo sapiens
105596	D-3-phosphoglycerate dehydrogenase	SINGLE PROTEIN	O43175	Homo sapiens	Homo sapiens
105598	Cadherin-1	SINGLE PROTEIN	P12830	Homo sapiens	Homo sapiens
105602	Potassium channel subfamily K member 3	SINGLE PROTEIN	O14649	Homo sapiens	Homo sapiens
105603	Potassium channel subfamily K member 9	SINGLE PROTEIN	Q9NPC2	Homo sapiens	Homo sapiens
105604	Potassium channel subfamily K member 2	SINGLE PROTEIN	O95069	Homo sapiens	Homo sapiens
105605	Protein Red	SINGLE PROTEIN	Q13123	Homo sapiens	Homo sapiens
105607	Potassium voltage-gated channel subfamily B member 2	SINGLE PROTEIN	Q92953	Homo sapiens	Homo sapiens
105610	Ubiquitin-like modifier-activating enzyme ATG7	SINGLE PROTEIN	O95352	Homo sapiens	Homo sapiens
105611	Ubiquitin-like modifier-activating enzyme 6	SINGLE PROTEIN	A0AVT1	Homo sapiens	Homo sapiens
105612	Ubiquitin-like modifier-activating enzyme 7	SINGLE PROTEIN	P41226	Homo sapiens	Homo sapiens
105615	Duffy antigen/chemokine receptor	SINGLE PROTEIN	Q16570	Homo sapiens	Homo sapiens
105616	C-C chemokine receptor-like 2	SINGLE PROTEIN	O00421	Homo sapiens	Homo sapiens
105617	C-C chemokine receptor type 10	SINGLE PROTEIN	P46092	Homo sapiens	Homo sapiens
105618	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	SINGLE PROTEIN	Q8WZA1	Homo sapiens	Homo sapiens
105619	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	SINGLE PROTEIN	Q10469	Homo sapiens	Homo sapiens
105620	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	SINGLE PROTEIN	Q6ZMB0	Homo sapiens	Homo sapiens
105621	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	SINGLE PROTEIN	Q02742	Homo sapiens	Homo sapiens
105622	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	SINGLE PROTEIN	Q9NS00	Homo sapiens	Homo sapiens
105623	Beta-1,3-galactosyltransferase 1	SINGLE PROTEIN	Q9Y5Z6	Homo sapiens	Homo sapiens
105624	Beta-1,3-galactosyltransferase 5	SINGLE PROTEIN	Q9Y2C3	Homo sapiens	Homo sapiens
105625	SH2 domain-containing protein 1A	SINGLE PROTEIN	O60880	Homo sapiens	Homo sapiens
105626	Kinesin-like protein KIF9	SINGLE PROTEIN	Q9HAQ2	Homo sapiens	Homo sapiens
105628	Histo-blood group ABO system transferase	SINGLE PROTEIN	P16442	Homo sapiens	Homo sapiens
105629	Frataxin, mitochondrial	SINGLE PROTEIN	Q16595	Homo sapiens	Homo sapiens
105632	Histone-lysine N-methyltransferase SMYD3	SINGLE PROTEIN	Q9H7B4	Homo sapiens	Homo sapiens
105633	Histone-lysine N-methyltransferase SUV420H2	SINGLE PROTEIN	Q86Y97	Homo sapiens	Homo sapiens
105634	Histone-lysine N-methyltransferase SUV420H1	SINGLE PROTEIN	Q4FZB7	Homo sapiens	Homo sapiens
105635	Histone-lysine N-methyltransferase SETDB1	SINGLE PROTEIN	Q15047	Homo sapiens	Homo sapiens
105638	Potassium channel subfamily K member 18	SINGLE PROTEIN	Q7Z418	Homo sapiens	Homo sapiens
105637	Potassium channel subfamily K member 10	SINGLE PROTEIN	P57789	Homo sapiens	Homo sapiens
105640	Myelin transcription factor 1	SINGLE PROTEIN	Q01538	Homo sapiens	Homo sapiens
105644	Transmembrane protease serine 4	SINGLE PROTEIN	Q9NRS4	Homo sapiens	Homo sapiens
105646	Disintegrin and metalloproteinase domain-containing protein 15	SINGLE PROTEIN	Q13444	Homo sapiens	Homo sapiens
105647	Palmitoyl-protein thioesterase 1	SINGLE PROTEIN	P50897	Homo sapiens	Homo sapiens
105649	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	SINGLE PROTEIN	Q16875	Homo sapiens	Homo sapiens
105650	26S proteasome non-ATPase regulatory subunit 10	SINGLE PROTEIN	O75832	Homo sapiens	Homo sapiens
105651	PERQ amino acid-rich with GYF domain-containing protein 2	SINGLE PROTEIN	Q6Y7W6	Homo sapiens	Homo sapiens
105654	Lysophosphatidic acid receptor 6	SINGLE PROTEIN	P43657	Homo sapiens	Homo sapiens
105655	Delta(24)-sterol reductase	SINGLE PROTEIN	Q15392	Homo sapiens	Homo sapiens
105660	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	SINGLE PROTEIN	O15357	Homo sapiens	Homo sapiens
105661	Alpha-ketoglutarate-dependent dioxygenase FTO	SINGLE PROTEIN	Q9C0B1	Homo sapiens	Homo sapiens
105663	Alkaline ceramidase 2	SINGLE PROTEIN	Q5QJU3	Homo sapiens	Homo sapiens
105672	Transcription factor MafK	SINGLE PROTEIN	O60675	Homo sapiens	Homo sapiens
105674	Nicotinamide N-methyltransferase	SINGLE PROTEIN	P40261	Homo sapiens	Homo sapiens
105676	Proliferating cell nuclear antigen	SINGLE PROTEIN	P12004	Homo sapiens	Homo sapiens
105677	Kit ligand	SINGLE PROTEIN	P21583	Homo sapiens	Homo sapiens
105680	A disintegrin and metalloproteinase with thrombospondin motifs 13	SINGLE PROTEIN	Q76LX8	Homo sapiens	Homo sapiens
105681	Frizzled-1	SINGLE PROTEIN	Q9UP38	Homo sapiens	Homo sapiens
105688	Protein S100-A4	SINGLE PROTEIN	P26447	Homo sapiens	Homo sapiens
105690	DNA repair protein RAD52 homolog	SINGLE PROTEIN	P43351	Homo sapiens	Homo sapiens
105691	Probable global transcription activator SNF2L2	SINGLE PROTEIN	P51531	Homo sapiens	Homo sapiens
105692	Paired box protein Pax-8	SINGLE PROTEIN	Q06710	Homo sapiens	Homo sapiens
105693	TAR DNA-binding protein 43	SINGLE PROTEIN	Q13148	Homo sapiens	Homo sapiens
105695	Fibroblast growth factor 22	SINGLE PROTEIN	Q9HCT0	Homo sapiens	Homo sapiens
105698	ATP-binding cassette sub-family A member 1	SINGLE PROTEIN	O95477	Homo sapiens	Homo sapiens
105701	DNA topoisomerase I, mitochondrial	SINGLE PROTEIN	Q969P6	Homo sapiens	Homo sapiens
105702	Carbamoyl-phosphate synthase [ammonia], mitochondrial	SINGLE PROTEIN	P31327	Homo sapiens	Homo sapiens
105704	Amidophosphoribosyltransferase	SINGLE PROTEIN	Q06203	Homo sapiens	Homo sapiens
105712	Potassium voltage-gated channel subfamily B member 1	SINGLE PROTEIN	Q14721	Homo sapiens	Homo sapiens
105729	Potassium voltage-gated channel subfamily H member 3	SINGLE PROTEIN	Q9ULD8	Homo sapiens	Homo sapiens
109457	Voltage-dependent L-type calcium channel subunit beta-2	SINGLE PROTEIN	Q08289	Homo sapiens	Homo sapiens
109780	Interleukin-12 subunit beta	SINGLE PROTEIN	P29460	Homo sapiens	Homo sapiens
109798	Interleukin-23 subunit alpha	SINGLE PROTEIN	Q9NPF7	Homo sapiens	Homo sapiens
106134	Interleukin-6 receptor alpha subunit	SINGLE PROTEIN	P08887	Homo sapiens	Homo sapiens
106135	T-lymphocyte activation antigen CD86	SINGLE PROTEIN	P42081	Homo sapiens	Homo sapiens
106136	T-lymphocyte activation antigen CD80	SINGLE PROTEIN	P33681	Homo sapiens	Homo sapiens
106137	Tumor necrosis factor ligand superfamily member 13B	SINGLE PROTEIN	Q9Y275	Homo sapiens	Homo sapiens
106138	Synaptosomal-associated protein 25	SINGLE PROTEIN	P60880	Homo sapiens	Homo sapiens
106139	Vesicle-associated membrane protein 2	SINGLE PROTEIN	P63027	Homo sapiens	Homo sapiens
106140	Tumor necrosis factor receptor superfamily member 8	SINGLE PROTEIN	P28908	Homo sapiens	Homo sapiens
106141	Tumor necrosis factor ligand superfamily member 11	SINGLE PROTEIN	O14788	Homo sapiens	Homo sapiens
106142	Complement C5	SINGLE PROTEIN	P01031	Homo sapiens	Homo sapiens
106143	Cytotoxic T-lymphocyte protein 4	SINGLE PROTEIN	P16410	Homo sapiens	Homo sapiens
117230	Collagen alpha-4(IV) chain	SINGLE PROTEIN	P53420	Homo sapiens	Homo sapiens
109496	Cytochrome P450 3A7	SINGLE PROTEIN	P24462	Homo sapiens	Homo sapiens
109455	Proteasome subunit beta type-10	SINGLE PROTEIN	P40306	Homo sapiens	Homo sapiens
109111	Proteasome subunit beta type-3	SINGLE PROTEIN	P49720	Homo sapiens	Homo sapiens
109503	Proteasome subunit beta type-7	SINGLE PROTEIN	Q99436	Homo sapiens	Homo sapiens
116778	Tubulin alpha-1B chain	SINGLE PROTEIN	P68363	Homo sapiens	Homo sapiens
116779	Tubulin alpha-1C chain	SINGLE PROTEIN	Q9BQE3	Homo sapiens	Homo sapiens
116780	Tubulin beta-2A chain	SINGLE PROTEIN	Q13885	Homo sapiens	Homo sapiens
107581	Tyrosine-protein kinase transmembrane receptor ROR2	SINGLE PROTEIN	Q01974	Homo sapiens	Homo sapiens
107582	Lymphocyte antigen 96	SINGLE PROTEIN	Q9Y6Y9	Homo sapiens	Homo sapiens
107584	Acyl-CoA wax alcohol acyltransferase 2	SINGLE PROTEIN	Q6E213	Homo sapiens	Homo sapiens
107585	Acyl-CoA wax alcohol acyltransferase 1	SINGLE PROTEIN	Q58HT5	Homo sapiens	Homo sapiens
107586	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	SINGLE PROTEIN	Q09327	Homo sapiens	Homo sapiens
107587	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	SINGLE PROTEIN	P26572	Homo sapiens	Homo sapiens
107589	Poly [ADP-ribose] polymerase 6	SINGLE PROTEIN	Q2NL67	Homo sapiens	Homo sapiens
107590	TCDD-inducible poly [ADP-ribose] polymerase	SINGLE PROTEIN	Q7Z3E1	Homo sapiens	Homo sapiens
107591	Poly [ADP-ribose] polymerase 11	SINGLE PROTEIN	Q9NR21	Homo sapiens	Homo sapiens
107594	Calcium release-activated calcium channel protein 1	SINGLE PROTEIN	Q96D31	Homo sapiens	Homo sapiens
107600	Monocyte differentiation antigen CD14	SINGLE PROTEIN	P08571	Homo sapiens	Homo sapiens
107601	N-arachidonyl glycine receptor	SINGLE PROTEIN	Q14330	Homo sapiens	Homo sapiens
107603	Microtubule-associated protein 2	SINGLE PROTEIN	P11137	Homo sapiens	Homo sapiens
107607	Urea transporter 1	SINGLE PROTEIN	Q13336	Homo sapiens	Homo sapiens
107612	Dual specificity protein phosphatase 23	SINGLE PROTEIN	Q9BVJ7	Homo sapiens	Homo sapiens
107613	Dual specificity protein phosphatase 15	SINGLE PROTEIN	Q9H1R2	Homo sapiens	Homo sapiens
107614	Receptor-type tyrosine-protein phosphatase S	SINGLE PROTEIN	Q13332	Homo sapiens	Homo sapiens
107615	Tyrosine-protein phosphatase non-receptor type 3	SINGLE PROTEIN	P26045	Homo sapiens	Homo sapiens
107617	Dual specificity protein phosphatase 10	SINGLE PROTEIN	Q9Y6W6	Homo sapiens	Homo sapiens
107618	Mothers against decapentaplegic homolog 2	SINGLE PROTEIN	Q15796	Homo sapiens	Homo sapiens
107619	N-acylneuraminate-9-phosphatase	SINGLE PROTEIN	Q8TBE9	Homo sapiens	Homo sapiens
107620	H(+)/Cl(-) exchange transporter 3	SINGLE PROTEIN	P51790	Homo sapiens	Homo sapiens
107623	Transcription factor ETV6	SINGLE PROTEIN	P41212	Homo sapiens	Homo sapiens
107627	Myoglobin	SINGLE PROTEIN	P02144	Homo sapiens	Homo sapiens
107630	G protein-activated inward rectifier potassium channel 2	SINGLE PROTEIN	P48051	Homo sapiens	Homo sapiens
107632	Cytochrome P450 2W1	SINGLE PROTEIN	Q8TAV3	Homo sapiens	Homo sapiens
107634	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	SINGLE PROTEIN	Q93008	Homo sapiens	Homo sapiens
107635	Ubiquitin carboxyl-terminal hydrolase 4	SINGLE PROTEIN	Q13107	Homo sapiens	Homo sapiens
107640	Short transient receptor potential channel 6	SINGLE PROTEIN	Q9Y210	Homo sapiens	Homo sapiens
107641	Short transient receptor potential channel 3	SINGLE PROTEIN	Q13507	Homo sapiens	Homo sapiens
107644	Microtubule-associated serine/threonine-protein kinase 4	SINGLE PROTEIN	O15021	Homo sapiens	Homo sapiens
107645	Microtubule-associated serine/threonine-protein kinase 3	SINGLE PROTEIN	O60307	Homo sapiens	Homo sapiens
107646	Serine/threonine-protein kinase Nek8	SINGLE PROTEIN	Q86SG6	Homo sapiens	Homo sapiens
107647	Acylglycerol kinase, mitochondrial	SINGLE PROTEIN	Q53H12	Homo sapiens	Homo sapiens
107653	Lysine-specific demethylase 5A	SINGLE PROTEIN	P29375	Homo sapiens	Homo sapiens
107654	Peptidyl-prolyl cis-trans isomerase C	SINGLE PROTEIN	P45877	Homo sapiens	Homo sapiens
107657	PHD finger protein 23	SINGLE PROTEIN	Q9BUL5	Homo sapiens	Homo sapiens
107658	Tumor suppressor p53-binding protein 1	SINGLE PROTEIN	Q12888	Homo sapiens	Homo sapiens
107659	E3 ubiquitin-protein ligase UHRF1	SINGLE PROTEIN	Q96T88	Homo sapiens	Homo sapiens
107664	Poly [ADP-ribose] polymerase 10	SINGLE PROTEIN	Q53GL7	Homo sapiens	Homo sapiens
107665	Poly [ADP-ribose] polymerase 12	SINGLE PROTEIN	Q9H0J9	Homo sapiens	Homo sapiens
107671	2-acylglycerol O-acyltransferase 2	SINGLE PROTEIN	Q3SYC2	Homo sapiens	Homo sapiens
107965	Probable G-protein coupled receptor 151	SINGLE PROTEIN	Q8TDV0	Homo sapiens	Homo sapiens
107966	Probable G-protein coupled receptor 132	SINGLE PROTEIN	Q9UNW8	Homo sapiens	Homo sapiens
107968	Transcription activator BRG1	SINGLE PROTEIN	P51532	Homo sapiens	Homo sapiens
107969	Nucleosome-remodeling factor subunit BPTF	SINGLE PROTEIN	Q12830	Homo sapiens	Homo sapiens
107970	Bromodomain-containing protein 7	SINGLE PROTEIN	Q9NPI1	Homo sapiens	Homo sapiens
107973	Poly [ADP-ribose] polymerase 8	SINGLE PROTEIN	Q8N3A8	Homo sapiens	Homo sapiens
107977	G-protein coupled receptor 39	SINGLE PROTEIN	O43194	Homo sapiens	Homo sapiens
107979	Nuclear receptor ROR-beta	SINGLE PROTEIN	Q92753	Homo sapiens	Homo sapiens
107993	Platelet-derived growth factor subunit B	SINGLE PROTEIN	P01127	Homo sapiens	Homo sapiens
107994	Clathrin heavy chain 1	SINGLE PROTEIN	Q00610	Homo sapiens	Homo sapiens
107998	Transcription intermediary factor 1-alpha	SINGLE PROTEIN	O15164	Homo sapiens	Homo sapiens
107999	Cat eye syndrome critical region protein 2	SINGLE PROTEIN	Q9BXF3	Homo sapiens	Homo sapiens
