parent_molregno	accession	parent_chembl_id	target_organism	summary
1370	P41595	CHEMBL27	Homo sapiens	6.5649999999999995
1370	P50406	CHEMBL27	Homo sapiens	5.68
1370	Q01453	CHEMBL27	Homo sapiens	4.07
1370	Q13936	CHEMBL27	Homo sapiens	4.68
1370	Q14524	CHEMBL27	Homo sapiens	5.68
1370	Q14973	CHEMBL27	Homo sapiens	5.26
1370	Q16637	CHEMBL27	Homo sapiens	4.45
1370	Q99720	CHEMBL27	Homo sapiens	5.73
1470	P02545	CHEMBL427	Homo sapiens	5.5
1470	P04637	CHEMBL427	Homo sapiens	4.7
1470	P10636	CHEMBL427	Homo sapiens	4.45
1470	P16473	CHEMBL427	Homo sapiens	4.8
1470	P42858	CHEMBL427	Homo sapiens	4.95
1470	P68871	CHEMBL427	Homo sapiens	4.7
1615	P06746	CHEMBL29	Homo sapiens	4.1
1615	P21462	CHEMBL29	Homo sapiens	5.11
1615	Q16637	CHEMBL29	Homo sapiens	5.85
1615	Q8TCC7	CHEMBL29	Homo sapiens	4.01
1620	O15244	CHEMBL30	Homo sapiens	4.24
1620	P02545	CHEMBL30	Homo sapiens	5.3
1620	P06280	CHEMBL30	Homo sapiens	4.65
