Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
AZTREONAM	CHEMBL158	61680		0.4		PMID30115648	Fu	
BAZEDOXIFENE	CHEMBL46740	65648		0.02		PMID30115648	Fu	
BECLOMETHASONE DIPROPIONATE	CHEMBL1200500	674451		0.13		PMID30115648	Fu	
BELINOSTAT	CHEMBL408513	435188		0.06		PMID30115648	Fu	
BENDAMUSTINE	CHEMBL487253	453911		0.05		PMID30115648	Fu	
BENZYDAMINE	CHEMBL12610	9913		0.8		PMID30115648	Fu	
BETAMETHASONE	CHEMBL632	27152		0.36		PMID30115648	Fu	
BETAXOLOL	CHEMBL423	1354		0.4		PMID30115648	Fu	
BILASTINE	CHEMBL1742423	1121294		0.13		PMID30115648	Fu	
BIPERIDEN	CHEMBL1101	151063		0.097		PMID30115648	Fu	
BISOPROLOL	CHEMBL645	27417		0.66		PMID30115648	Fu	
BIVALIRUDIN	CHEMBL2103749	1376019		1.0		PMID30115648	Fu	
BORTEZOMIB	CHEMBL325041	187372		0.17		PMID30115648	Fu	
BOSENTAN	CHEMBL957	93617		0.0369999999999999		PMID30115648	Fu	
BREXPIPRAZOLE	CHEMBL2105760	1378030		0.002		PMID30115648	Fu	
BRIVARACETAM	CHEMBL607400	609761		0.825		PMID30115648	Fu	
BROMAZEPAM	CHEMBL277062	16960		0.48		PMID30115648	Fu	
BROMFENAC	CHEMBL1077	140107		0.0011		PMID30115648	Fu	
BUDESONIDE	CHEMBL1370	313314		0.13		PMID30115648	Fu	
BUMETANIDE	CHEMBL1072	139281		0.031		PMID30115648	Fu	
BUPIVACAINE	CHEMBL1098	150882		0.056		PMID30115648	Fu	
BUSULPHAN	CHEMBL820	56644		1.0		PMID30115648	Fu	
BUTORPHANOL	CHEMBL33986	45838		0.17		PMID30115648	Fu	
BUTYLBIGUANIDE	CHEMBL39736	56090		0.9		PMID30115648	Fu	
CABAZITAXEL	CHEMBL1201748	675699		0.24		PMID30115648	Fu	
CAFFEINE	CHEMBL113	16485		0.64		PMID30115648	Fu	
CANAGLIFLOZIN	CHEMBL2048484	1351917		0.01		PMID30115648	Fu	
CANGRELOR	CHEMBL334966	217548		0.02		PMID30115648	Fu	
CAPTOPRIL	CHEMBL1560	444750		0.73		PMID30115648	Fu	
CARBENICILLIN	CHEMBL1214	218758		0.52		PMID30115648	Fu	
CARFILZOMIB	CHEMBL451887	520664		0.02		PMID30115648	Fu	
CARMUSTINE	CHEMBL513	10840	BCNU	0.23		PMID30115648	Fu	
CARNITINE_L	CHEMBL1149	181939		1.0		PMID30115648	Fu	
CARPROFEN	CHEMBL1316	264453		0.001		PMID30115648	Fu	
CARVEDILOL	CHEMBL723	36662		0.02		PMID30115648	Fu	
CEFADROXIL	CHEMBL1644	485902		0.39		PMID30115648	Fu	
CEFAMANDOLE	CHEMBL1146	180228		0.25		PMID30115648	Fu	
CEFAZOLIN	CHEMBL1435	371631		0.18		PMID30115648	Fu	
CEFEPIME	CHEMBL186	372385		0.78		PMID30115648	Fu	
CEFIXIME	CHEMBL1541	430642		0.31		PMID30115648	Fu	
CEFMETAZOLE	CHEMBL1201195	675146		0.15		PMID30115648	Fu	
CEFODIZIME	CHEMBL2303613	1503084		0.18		PMID30115648	Fu	
CEFOPERAZONE	CHEMBL507674	508755		0.07		PMID30115648	Fu	
CEFORANIDE	CHEMBL1201046	674997		0.19		PMID30115648	Fu	
CEFOTAXIME	CHEMBL1730	558106		0.6		PMID30115648	Fu	
CEFOTIAM	CHEMBL1296	255510		0.5		PMID30115648	Fu	
CEFOXITIN	CHEMBL996	109807		0.73		PMID30115648	Fu	
CEFPIRAMIDE	CHEMBL1201204	675155		0.03		PMID30115648	Fu	
CEFPIROME	CHEMBL65794	104846		0.9		PMID30115648	Fu	
CEFTAROLINE FOSAMIL	CHEMBL501122	497230		0.8		PMID30115648	Fu	
CEFTAZIDIME	CHEMBL44354	61682		0.79		PMID30115648	Fu	
CEFTIZOXIME	CHEMBL528	12105		0.72		PMID30115648	Fu	
CEFTRIAXONE	CHEMBL161	83724		0.1		PMID30115648	Fu	
CEPHALEXIN	CHEMBL1727	555972		0.85		PMID30115648	Fu	
CEPHALOTHIN	CHEMBL617	24991		0.22		PMID30115648	Fu	
CEPHAPIRIN	CHEMBL1599	454446		0.55		PMID30115648	Fu	
CEPHRADINE	CHEMBL1604	454576		0.95		PMID30115648	Fu	
CERIVASTATIN	CHEMBL1477	403465		0.01		PMID30115648	Fu	
CETRORELIX	CHEMBL1200490	674441		0.14		PMID30115648	Fu	
CHLORAMBUCIL	CHEMBL515	11002		0.01		PMID30115648	Fu	
CHLORAMPHENICOL	CHEMBL130	27340		0.34		PMID30115648	Fu	
CHLORDIAZEPOXIDE	CHEMBL451	2431		0.056		PMID30115648	Fu	
CHLORMETHIAZOLE	CHEMBL315795	139608		0.36		PMID30115648	Fu	
CHLOROQUINE	CHEMBL76	6579		0.43		PMID30115648	Fu	
CHLORPHENIRAMINE	CHEMBL505	10358		0.7		PMID30115648	Fu	
