chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1360	306485	306485	CHEMBL1360
CHEMBL1363	308174	308174	CHEMBL1363
CHEMBL1364	308201	308201	CHEMBL1364
CHEMBL1364144	788028	788028	CHEMBL1364144
CHEMBL1369407	793291	793291	CHEMBL1369407
CHEMBL137	27912	27912	CHEMBL137
CHEMBL1370	313314	313314	CHEMBL1370
CHEMBL1370561	794445	381693	CHEMBL190
CHEMBL1371	315123	315123	CHEMBL1371
CHEMBL1373	317124	317124	CHEMBL1373
CHEMBL1374379	798263	798263	CHEMBL1374379
CHEMBL1375743	799627	33664	CHEMBL708
CHEMBL1377	320522	320522	CHEMBL1377
CHEMBL1380	321707	321707	CHEMBL1380
CHEMBL138297	231313	231313	CHEMBL138297
CHEMBL1384	325239	325239	CHEMBL1384
CHEMBL1388	328158	328158	CHEMBL1388
CHEMBL1389	328164	328164	CHEMBL1389
CHEMBL1390	328173	328173	CHEMBL1390
CHEMBL1393	328201	328201	CHEMBL1393
CHEMBL1395	328400	328400	CHEMBL1395
CHEMBL1396	330452	330452	CHEMBL1396
CHEMBL1397	334337	334337	CHEMBL1397
CHEMBL139835	236019	236019	CHEMBL139835
CHEMBL1399	337366	337366	CHEMBL1399
CHEMBL1401	338934	338934	CHEMBL1401
CHEMBL1404	341382	341382	CHEMBL1404
CHEMBL1405	342897	342897	CHEMBL1405
CHEMBL141	33986	33986	CHEMBL141
CHEMBL1410743	834627	834627	CHEMBL1410743
CHEMBL1413	353011	353011	CHEMBL1413
CHEMBL1419	358192	358192	CHEMBL1419
CHEMBL1421	361469	361469	CHEMBL1421
CHEMBL142130	234075	234075	CHEMBL142130
CHEMBL1422	363589	363589	CHEMBL1422
CHEMBL1423	364141	364141	CHEMBL1423
CHEMBL1425	364693	364693	CHEMBL1425
CHEMBL142703	234541	234541	CHEMBL142703
CHEMBL1428	365248	365248	CHEMBL1428
CHEMBL1429	366868	366868	CHEMBL1429
CHEMBL1430	369179	369179	CHEMBL1430
CHEMBL1431	369464	369464	CHEMBL1431
CHEMBL1433762	857646	857646	CHEMBL1433762
CHEMBL1435	371631	371631	CHEMBL1435
CHEMBL1436	371655	371655	CHEMBL1436
CHEMBL1437	372912	372912	CHEMBL1437
CHEMBL14376	13949	13949	CHEMBL14376
CHEMBL1441	374005	374005	CHEMBL1441
CHEMBL1443	374064	374064	CHEMBL1443
CHEMBL1444	374548	374548	CHEMBL1444
CHEMBL1445	377718	377718	CHEMBL1445
CHEMBL1451	381691	381691	CHEMBL1451
CHEMBL1455	386327	386327	CHEMBL1455
CHEMBL1456	386457	386457	CHEMBL1456
CHEMBL1457	388373	388373	CHEMBL1457
CHEMBL145704	240319	240319	CHEMBL145704
CHEMBL1463	393942	393942	CHEMBL1463
CHEMBL1469	397873	397873	CHEMBL1469
CHEMBL1472	400344	400344	CHEMBL1472
CHEMBL1473	401141	401141	CHEMBL1473
CHEMBL1477	403465	403465	CHEMBL1477
CHEMBL1479	405364	405364	CHEMBL1479
CHEMBL1480	405365	405365	CHEMBL1480
CHEMBL1482	406520	406520	CHEMBL1482
CHEMBL1483	406787	406787	CHEMBL1483
CHEMBL1485	411450	411450	CHEMBL1485
CHEMBL1489	418401	418401	CHEMBL1489
CHEMBL1490	418411	418411	CHEMBL1490
CHEMBL1491	418414	418414	CHEMBL1491
CHEMBL149223	248357	248357	CHEMBL149223
CHEMBL1493	418484	418484	CHEMBL1493
CHEMBL1496	418845	418845	CHEMBL1496
CHEMBL1497	419410	419410	CHEMBL1497
CHEMBL1499	419463	419463	CHEMBL1499
CHEMBL1501	419542	419542	CHEMBL1501
CHEMBL1502	419598	419598	CHEMBL1502
CHEMBL1503	419601	419601	CHEMBL1503
CHEMBL1504	419622	419622	CHEMBL1504
CHEMBL1505	420985	420985	CHEMBL1505
CHEMBL1508	421007	421007	CHEMBL1508
CHEMBL1510	421034	421034	CHEMBL1510
CHEMBL1511	421038	421038	CHEMBL1511
CHEMBL1512	421058	421058	CHEMBL1512
CHEMBL1513	421066	421066	CHEMBL1513
